fixtureId,homeScore,awayScore
26ce9bcf-4e64-4dfe-8fc9-b98d214e8557,3,2
4d8ef413-8514-411a-a53c-aee3932b5638,1,2
3551e117-6830-40f7-b12d-82ff8e22d9c2,2,0
2120a51f-6227-4276-8fd1-8f3d90678c5d,2,3
2a1f9fee-ddf1-4d40-8aa7-3b55c37e3066,1,0
4fdda3dd-1ce0-40c6-a197-33575129e135,2,2
a7603bee-309b-4e4b-969a-6c5964ff6685,1,1
5cc04d59-d16c-4ff6-9600-b3996f8a5548,0,1
1001cd4d-6c0b-46ef-9e1f-61586f2f7aae,3,1
3e084157-6269-4493-ae89-c54fbf5cc173,0,3
1211ea23-79bf-44f3-b8c8-91f4c9138fcf,0,1
c30918d9-7a3d-47f1-a459-1eb0c3ee08e4,0,3
db84b545-70fa-41fe-85ce-ede02983859a,1,1
bfce62ff-3007-4bcf-ac39-96891a612373,2,1
e6400c9f-dcce-478f-bbb3-5b91b86aaf97,2,3
e78eef0f-6ac6-4c92-8851-dda038cd1777,1,1
8ebcbcb1-186d-43f6-ad2c-6a3d0d03b9aa,2,0
e03c2819-9afd-49b5-8b0b-e02043971f5a,0,1
62920060-4424-4655-9a70-437f1b350574,0,0
10cfa2fb-938b-442f-9630-be4e4a85e347,1,3
6c5433c3-e2e8-47d3-8854-4f5005e1b460,3,3
f38fb678-c638-421f-aa10-e272a1845755,3,1
655b64a8-4945-452f-b11d-911dd1779a59,0,2
552df5c1-fc74-4dc3-8901-2c23cb85e695,1,1
9aae1965-f5c9-462d-8ade-c977f46e89f4,0,2
738655d0-dd61-48ba-8bb3-322b98ac6a30,0,3
bf9eb927-b32e-4a88-9228-365a0a4f6303,1,0
6dd97fb0-4b65-4ed0-ae17-3c774acf2466,2,1
56c3fefe-17a1-4c10-8cec-f1dbff0c06c4,2,1
8a8e01fc-6f2c-4055-a269-44cd815adb55,1,1
172f1e18-9dfb-48db-9b71-e01656689e2d,1,0
91e9b2fe-6a1d-4f0f-9443-0db8e396680d,0,2
1a4ab92d-2a81-4084-b0ec-f709f3c4f853,3,0
dac55daa-c953-467d-87e2-9d0fce5e983f,3,0
e60ed50e-02e5-46e8-9326-633f7ebade5d,1,3
b3d08cd9-2ec7-4faa-94a8-c4d65d831c8c,0,2
01f4284c-aa93-4a8e-8049-d960a880ae46,3,1
606e2792-9ad6-4b1c-981d-a33f8e64f0cb,3,1
c1509c4d-4e2d-4098-a2fc-12aeb7f52580,1,2
c12e0481-600f-49ec-8630-e4edb2616b70,3,2
e06ed162-3a3a-4ee8-a468-950c6a7ada6b,0,0
9eb6a1d3-9fc1-4f21-b6df-225e9d3781c9,1,0
0df8e6e8-f9d9-41aa-912d-2aa22a6f017e,2,2
cf9c3e79-bdf2-4069-890d-d644cf004960,0,1
717dc55d-b5ea-4f28-8c65-f0edae647aec,2,2
e26dd1b8-a320-4b5f-8dcb-38025839f471,3,2
1250e5b5-9851-4d2b-81f7-c16ea695f53c,3,0
512dbce8-708c-4161-ae77-2a2c1a3f5e26,1,3
0b4e4a3c-65f2-4f68-823f-420ebfa040b2,2,0
8bcef7b1-3d1b-42ad-b7aa-2595dca90b79,2,3
9cbeabe9-fa0e-4487-8707-6b8544cbb830,2,0
ca47be4a-d421-4657-ba32-52670879c514,0,0
